"key","context","en","hi","mwr","bgc"
"type.booklet","Resource type label","Booklet","पुस्तिका","",""
"type.notebook","Resource type label","Jupyter Notebook","ज्यूपिटर नोटबुक (Jupyter Notebook)","",""
"type.questionnaire","Resource type label","Questionnaire","प्रश्नावली","",""
"type.workshop","Resource type label","Workshop","वर्कशॉप (workshop)","",""
"type.article","Resource type label","Article","लेख","",""
"card.soon","Badge on resources that are not ready yet","Coming soon","जल्द ही उपलब्ध","",""
"card.open","Link text on a ready resource card","Open","खोलें","",""
"lang.marwari","Badge showing a resource is in the Marwari language","Marwari","मारवाड़ी","",""
"cat.booklet-1.title","Catalogue item title","Booklet 1: AI for Our Village (A Village Guide)","पुस्तिका 1: हमारे गाँव के लिए एआई (AI) (एक ग्रामीण मार्गदर्शिका)","",""
"cat.booklet-1.desc","Catalogue item description","The basics of AI for villages, its impact, and a community toolkit. (Original, in Marwari.)","गाँवों के लिए एआई (AI) की बुनियादी बातें, इसका असर, और एक सामुदायिक टूलकिट (toolkit)। (मूल, मारवाड़ी में।)","",""
"cat.booklet-2.title","Catalogue item title","Booklet 2: Deeper Topics and Practice","पुस्तिका 2: गहरे विषय और अभ्यास","",""
"cat.booklet-2.desc","Catalogue item description","Deeper themes and practical use. (Original, in Marwari.)","गहरे विषय और व्यावहारिक उपयोग। (मूल, मारवाड़ी में।)","",""
"cat.booklet-computer-basics.title","Catalogue item title","Booklet 3: How a Computer Works (from the ground up)","पुस्तिका 3: कंप्यूटर (computer) कैसे काम करता है (बिलकुल शुरुआत से)","",""
"cat.booklet-computer-basics.desc","Catalogue item description","From electricity and buttons to chips, memory and programs, explained in plain language.","बिजली और बटन से लेकर चिप (chip), मेमोरी (memory) और प्रोग्राम (program) तक, सरल भाषा में।","",""
"cat.booklet-how-ai-learns.title","Catalogue item title","Booklet 4: How AI Learns (data, training, models)","पुस्तिका 4: एआई (AI) कैसे सीखता है (डेटा (data), ट्रेनिंग (training), मॉडल (model))","",""
"cat.booklet-how-ai-learns.desc","Catalogue item description","Understand every part of AI in depth: data, training, and models.","एआई (AI) के हर हिस्से को गहराई से समझें: डेटा (data), ट्रेनिंग (training), और मॉडल (model)।","",""
"cat.notebook-intro.title","Catalogue item title","Notebook 1: Try AI with Your Own Hands","नोटबुक 1: अपने हाथों से एआई (AI) आज़माएँ","",""
"cat.notebook-intro.desc","Catalogue item description","A simple Jupyter notebook you can run yourself to see how a computer learns patterns.","एक सरल ज्यूपिटर नोटबुक (Jupyter Notebook) जिसे आप खुद चलाकर देख सकते हैं कि कंप्यूटर (computer) पैटर्न (pattern) कैसे सीखता है।","",""
"cat.questionnaire-bioregional.title","Catalogue item title","Questionnaire: Bioregional, Community and Location-specific","प्रश्नावली: बायोरीजनल (bioregional), सामुदायिक और स्थान-विशेष","",""
"cat.questionnaire-bioregional.desc","Catalogue item description","Co-designed with native speakers, language experts and bioregionalism practitioners. (In progress.)","मातृभाषी वक्ताओं, भाषा विशेषज्ञों और बायोरीजनलिज़्म (bioregionalism) के जानकारों के साथ मिलकर बनाई गई। (निर्माणाधीन।)","",""
"learn.title","Learn page heading","Understand Computers & AI","कंप्यूटर (computer) और एआई (AI) को समझें","",""
"learn.sub","Learn page subtitle","A ground-up path: from how a computer works to how AI learns. Take it one step at a time.","बिलकुल शुरुआत से एक राह: कंप्यूटर (computer) कैसे काम करता है से लेकर एआई (AI) कैसे सीखता है तक। एक-एक कदम बढ़ें।","",""
"learn.step.1.title","Learning step 1 heading","What a computer is, and how electricity runs it","कंप्यूटर (computer) क्या है, और बिजली इसे कैसे चलाती है","",""
"learn.step.1.desc","Learning step 1 description","What happens inside when you press a button: electricity and on/off (0 and 1) basics.","जब आप बटन दबाते हैं तो अंदर क्या होता है: बिजली और चालू/बंद (0 और 1) की बुनियादी बातें।","",""
"learn.step.2.title","Learning step 2 heading","Parts of a computer: processor, memory, storage","कंप्यूटर (computer) के हिस्से: प्रोसेसर (processor), मेमोरी (memory), स्टोरेज (storage)","",""
"learn.step.2.desc","Learning step 2 description","How the CPU (brain), RAM (short-term memory) and disk (permanent storage) work together.","सीपीयू (CPU) (दिमाग), रैम (RAM) (अल्पकालिक मेमोरी) और डिस्क (disk) (स्थायी स्टोरेज) मिलकर कैसे काम करते हैं।","",""
"learn.step.3.title","Learning step 3 heading","What data is, and how a computer reads it","डेटा (data) क्या है, और कंप्यूटर (computer) इसे कैसे पढ़ता है","",""
"learn.step.3.desc","Learning step 3 description","How photos, sound and words all turn into numbers a computer can use.","तस्वीरें, आवाज़ और शब्द सब कैसे उन संख्याओं में बदलते हैं जिन्हें कंप्यूटर (computer) इस्तेमाल कर सकता है।","",""
"learn.step.4.title","Learning step 4 heading","How the internet and the ""cloud"" work","इंटरनेट (internet) और ""क्लाउड (cloud)"" कैसे काम करते हैं","",""
"learn.step.4.desc","Learning step 4 description","How your phone talks to far-away computers, and where your data actually lives.","आपका फ़ोन दूर के कंप्यूटरों (computers) से कैसे बात करता है, और आपका डेटा (data) असल में कहाँ रहता है।","",""
"learn.step.5.title","Learning step 5 heading","What AI really is: a computer that learns","एआई (AI) असल में क्या है: एक कंप्यूटर (computer) जो सीखता है","",""
"learn.step.5.desc","Learning step 5 description","Writing rules versus learning from examples: what is the difference?","नियम लिखना बनाम उदाहरणों से सीखना: फ़र्क़ क्या है?","",""
"learn.step.6.title","Learning step 6 heading","Training: how AI is taught with examples","ट्रेनिंग (training): एआई (AI) को उदाहरणों से कैसे सिखाया जाता है","",""
"learn.step.6.desc","Learning step 6 description","How AI finds patterns after seeing thousands of examples (sick crops, folk songs).","हज़ारों उदाहरण देखने के बाद एआई (AI) पैटर्न (pattern) कैसे पहचानता है (बीमार फ़सलें, लोकगीत)।","",""
"learn.step.7.title","Learning step 7 heading","How language AI (LLMs) talk","भाषा आधारित एआई (AI) (एलएलएम / LLM) कैसे बात करता है","",""
"learn.step.7.desc","Learning step 7 description","How a tool like ChatGPT guesses the next word, and why it can be wrong.","चैटजीपीटी (ChatGPT) जैसा औज़ार अगले शब्द का अनुमान कैसे लगाता है, और यह ग़लत क्यों हो सकता है।","",""
"learn.step.8.title","Learning step 8 heading","Try it yourself (hands-on notebooks)","खुद आज़माएँ (व्यावहारिक नोटबुक / notebooks)","",""
"learn.step.8.desc","Learning step 8 description","Simple Jupyter notebooks you can run to understand AI by doing.","सरल ज्यूपिटर नोटबुक (Jupyter Notebooks) जिन्हें खुद चलाकर और प्रयोग करके आप एआई (AI) को समझ सकते हैं।","",""
"impact.title","Impact page heading","AI's Impact","एआई (AI) का असर","",""
"impact.sub","Impact page subtitle","How AI is changing the world. See both sides: the benefits and the harms.","एआई (AI) दुनिया को कैसे बदल रहा है। दोनों पहलू देखें: फ़ायदे और नुक़सान।","",""
"impact.benefits.head","Heading for the benefits list","Benefits","फ़ायदे","",""
"impact.harms.head","Heading for the harms list","Harms","नुक़सान","",""
"impact.note","Closing line on the impact page. KEEP the <a ...>...</a> tag; translate only the words.","For a deeper look, read the <a href=""/catalogue?type=booklet"">booklets</a>.","और गहराई से जानने के लिए <a href=""/catalogue?type=booklet"">पुस्तिकाएँ</a> पढ़ें।","",""
"impact.benefit.health.title","Benefit card title","Health","स्वास्थ्य","",""
"impact.benefit.health.desc","Benefit card description","Early detection of illness, and medical advice in your own language.","बीमारी की जल्दी पहचान, और आपकी अपनी भाषा में चिकित्सा सलाह।","",""
"impact.benefit.disaster.title","Benefit card title","Disaster warnings","आपदा की चेतावनी","",""
"impact.benefit.disaster.desc","Benefit card description","Early warning for floods, storms and drought.","बाढ़, तूफ़ान और सूखे की पहले से चेतावनी।","",""
"impact.benefit.land.title","Benefit card title","Protecting the land","ज़मीन की रक्षा","",""
"impact.benefit.land.desc","Benefit card description","Detecting pollution and planning resources better.","प्रदूषण की पहचान और संसाधनों की बेहतर योजना।","",""
"impact.benefit.language.title","Benefit card title","Keeping language alive","भाषा को ज़िंदा रखना","",""
"impact.benefit.language.desc","Benefit card description","Giving local languages a place in the digital world.","डिजिटल (digital) दुनिया में स्थानीय भाषाओं को जगह देना।","",""
"impact.benefit.farming.title","Benefit card title","Better farming","बेहतर खेती","",""
"impact.benefit.farming.desc","Benefit card description","Information about pests, weather and prices in your language.","कीटों, मौसम और दामों की जानकारी आपकी भाषा में।","",""
"impact.benefit.learning.title","Benefit card title","Better learning","बेहतर पढ़ाई","",""
"impact.benefit.learning.desc","Benefit card description","Help for every child based on what they need.","हर बच्चे को उसकी ज़रूरत के मुताबिक़ मदद।","",""
"impact.harm.erasure.title","Harm card title","Cultural erasure","संस्कृति का लोप","",""
"impact.harm.erasure.desc","Harm card description","AI built only on foreign data can forget your traditions and festivals.","सिर्फ़ बाहरी डेटा (data) पर बना एआई (AI) आपकी परंपराओं और त्योहारों को भुला सकता है।","",""
"impact.harm.language.title","Harm card title","Harm to language","भाषा को नुक़सान","",""
"impact.harm.language.desc","Harm card description","The ""standard language"" trap, treating your dialect as ""wrong"".","""मानक भाषा"" का जाल, जो आपकी बोली को ""ग़लत"" मान लेता है।","",""
"impact.harm.data.title","Harm card title","Data taken without asking","बिना पूछे डेटा (data) लेना","",""
"impact.harm.data.desc","Harm card description","Data colonialism: your data extracted and taken away.","डेटा उपनिवेशवाद (data colonialism): आपका डेटा (data) निकालकर ले जाया जाना।","",""
"impact.harm.bias.title","Harm card title","Bias and stereotypes","पूर्वाग्रह और रूढ़ियाँ","",""
"impact.harm.bias.desc","Harm card description","AI treating old prejudices as truth and acting unfairly.","एआई (AI) पुराने पूर्वाग्रहों को सच मानकर अन्यायपूर्ण व्यवहार करता है।","",""
"impact.harm.hallucination.title","Harm card title","Hallucinations","मनगढ़ंत जवाब (hallucinations)","",""
"impact.harm.hallucination.desc","Harm card description","AI can state made-up things with confidence, so always verify.","एआई (AI) मनगढ़ंत बातें भी पूरे आत्मविश्वास से कह सकता है, इसलिए हमेशा जाँच लें।","",""
"impact.harm.environment.title","Harm card title","Environmental cost","पर्यावरण की क़ीमत","",""
"impact.harm.environment.desc","Harm card description","Large AI models consume huge amounts of electricity and water.","बड़े एआई (AI) मॉडल (model) भारी मात्रा में बिजली और पानी खपाते हैं।","",""
"news.title","News page heading","Critical & Participatory AI News","क्रिटिकल (Critical) और सहभागी एआई (AI) खबरें","",""
"news.sub","News page subtitle","Updates on responsible, critical and community-led AI from around the world.","दुनिया भर से ज़िम्मेदार, क्रिटिकल (critical) और समुदाय-संचालित एआई (AI) की ताज़ा खबरें।","",""
"news.source","Label before the source name on a news item","Source:","स्रोत:","",""
"region.India","News region tag","India","भारत","",""
"region.Africa","News region tag","Africa","अफ़्रीका","",""
"region.Global","News region tag","Global","वैश्विक","",""
"news.bhashini.title","News item title","Bhashini: donating your voice to build Indian-language AI","भाषिणी (Bhashini): भारतीय भाषाओं का एआई (AI) बनाने के लिए अपनी आवाज़ देना","",""
"news.bhashini.desc","News item description","India's initiative lets people donate their voice to build community language-data for AI.","भारत की यह पहल लोगों को एआई (AI) के लिए सामुदायिक भाषा-डेटा (data) बनाने हेतु अपनी आवाज़ का योगदान देने की सुविधा देती है।","",""
"news.masakhane.title","News item title","Masakhane: community-built translation for 30+ African languages","मसाखाने (Masakhane): 30+ अफ़्रीकी भाषाओं के लिए समुदाय द्वारा बनाया गया अनुवाद","",""
"news.masakhane.desc","News item description","African communities built their own translation tools, a model example of participatory AI.","अफ़्रीकी समुदायों ने अपने अनुवाद औज़ार बनाए - सहभागी एआई (AI) का एक आदर्श उदाहरण।","",""
"news.care.title","News item title","CARE principles for Indigenous data governance gain ground","स्वदेशी डेटा (data) प्रशासन के लिए CARE सिद्धांतों को बढ़ती मान्यता","",""
"news.care.desc","News item description","Communities' right to control and benefit from their own data is gaining traction worldwide.","अपने डेटा (data) पर नियंत्रण और उससे लाभ पाने का समुदायों का अधिकार दुनिया भर में ज़ोर पकड़ रहा है।","",""
"about.title","About page heading","About Loktech","Loktech के बारे में","",""
"about.p1","About page paragraph 1. KEEP the <strong> and <em> tags; translate only the words.","<strong>Loktech</strong> is a one-stop repository of community AI-literacy resources (booklets, Jupyter notebooks and questionnaires) built <em>with</em> Marwari-speaking communities in the villages around Jodhpur, Rajasthan, not just <em>for</em> them.","<strong>Loktech</strong> सामुदायिक एआई (AI)-साक्षरता संसाधनों (पुस्तिकाएँ, ज्यूपिटर नोटबुक (Jupyter Notebooks) और प्रश्नावलियाँ) का एक ही जगह भंडार है, जो जोधपुर, राजस्थान के आसपास के गाँवों के मारवाड़ी-भाषी समुदायों के <em>साथ</em> मिलकर बनाया गया है - सिर्फ़ उनके <em>लिए</em> नहीं।","",""
"about.p2","About page paragraph 2. KEEP the <strong> tags; translate only the words.","It is part of <strong>RAIL (Responsible Augmentation of Indigenous Languages)</strong>, a participatory framework for responsible AI. The aim is simple: help villagers understand everything from how a computer works to how AI works, see clearly both the benefits and the harms AI brings, and keep ownership of their own language and data.","यह <strong>RAIL (Responsible Augmentation of Indigenous Languages)</strong> का हिस्सा है, जो ज़िम्मेदार एआई (AI) के लिए एक सहभागी ढाँचा है। मक़सद सरल है: गाँव वालों की मदद करना कि वे कंप्यूटर (computer) कैसे काम करता है से लेकर एआई (AI) कैसे काम करता है तक सब समझें, एआई (AI) के फ़ायदे और नुक़सान दोनों साफ़ देखें, और अपनी भाषा व डेटा (data) पर अपना मालिकाना हक़ बनाए रखें।","",""
"about.inside.head","About page subheading","What's inside","इसमें क्या है","",""
"about.inside.learn","About page list item. KEEP the <strong> tag.","<strong>Learn</strong>: a ground-up path from computers to AI.","<strong>सीखें</strong>: कंप्यूटर (computer) से एआई (AI) तक एक शुरुआती राह।","",""
"about.inside.impact","About page list item. KEEP the <strong> tag.","<strong>Impact</strong>: the benefits and harms of AI, side by side.","<strong>असर</strong>: एआई (AI) के फ़ायदे और नुक़सान, आमने-सामने।","",""
"about.inside.news","About page list item. KEEP the <strong> tag.","<strong>News</strong>: critical and participatory AI updates from around the world.","<strong>खबरें</strong>: दुनिया भर से क्रिटिकल (critical) और सहभागी एआई (AI) की ताज़ा बातें।","",""
"about.inside.catalogue","About page list item. KEEP the <strong> tag.","<strong>Catalogue</strong>: all booklets, notebooks and questionnaires.","<strong>कैटलॉग (Catalogue)</strong>: सभी पुस्तिकाएँ, नोटबुक (notebooks) और प्रश्नावलियाँ।","",""
"about.inside.original","About page list item. KEEP the <strong> tag.","<strong>Original site</strong>: the first booklets, preserved exactly as written (in Marwari).","<strong>मूल साइट</strong>: पहली पुस्तिकाएँ, ठीक वैसी ही सहेजी गईं जैसी लिखी गई थीं (मारवाड़ी में)।","",""
"about.note","Closing note on the about page","The new site is in English for now and will be translated to Marwari and Hindi. The original booklets are kept unchanged.","नई साइट फ़िलहाल अंग्रेज़ी में है और इसका मारवाड़ी व हिंदी में अनुवाद किया जाएगा। मूल पुस्तिकाएँ अपरिवर्तित रखी गई हैं।","",""
"nf.title","Not-found page heading","Page not found","पृष्ठ नहीं मिला","",""
"nf.sub","Not-found page message","The page you're looking for isn't here.","आप जो पृष्ठ ढूँढ रहे हैं वह यहाँ नहीं है।","",""
"nf.back","Not-found page button back to home","Back to home","मुख पृष्ठ पर लौटें","",""
